book,chapter,section,agent.phrase,agent.pp,perfect,agent.nominality,subject.animacy,participle,agent.realization,lemma
4,166,1,DAT,NA,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,κατεργάζομαι
4,168,2,PP,HYPO,NON.PERFECT,PRONOUN,ANIMATE,NON.PARTICIPLE,STRESSED.PRO,διαπαρθενεύω
4,176,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,φιλέω
4,179,1,DAT,NA,NON.PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,ἐξεργάζομαι
4,181,2,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,λέγω
4,187,3,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,ἐξευρίσκω
4,191,4,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,λέγω
4,200,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,στέλλω
4,202,1,PP,EK,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,παραδίδωμι
5,1,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,καταλείπω
5,1,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,περιέπω
5,2,2,PP,EK,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,ἐντέλλω
5,3,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,ἄρχω
5,4,1,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,λέγω
5,5,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,φιλέω
5,5,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,ἐγκωμιάζω
5,5,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,ἐγκωμιάζω
5,5,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,σφάζω
5,12,3,PP,EK,NON.PERFECT,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,ποιέω
5,16,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,χειρόω
5,20,4,PP,PROS,NON.PERFECT,PRONOUN,ANIMATE,PARTICIPLE,STRESSED.PRO,τιμάω
5,23,1,PP,EK,NON.PERFECT,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,ποιέω
5,26,1,PP,HYPO,NON.PERFECT,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,οἰκέω
5,32,1,PP,EK,NON.PERFECT,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,λέγω
5,34,3,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,καταδαπανάω
5,34,3,DAT,NA,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,προσαναισιμόομαι
5,35,3,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,λέγω
5,36,4,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,δηλόω
5,38,2,DAT,NA,NON.PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,ἐξευρίσκω
5,42,2,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,βασιλεύω
5,42,3,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,ἐξελαύνω
5,42,3,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,ἐξελαύνω
5,42,3,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,ἐξελαύνω
5,46,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,ἡσσάομαι
5,46,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,ἡσσάομαι
5,48,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,βασιλεύω
5,49,8,DAT,NA,NON.PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,STRESSED.PRO,ἔχω
5,54,1,DAT,NA,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,λέγω
5,61,2,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,ἐξανίστημι
5,62,1,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,ἀφηγέομαι
5,63,3,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,ποιέω
5,68,1,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,ποιέω
5,73,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,διώκω
5,73,1,DAT,NA,PERFECT,PRONOUN,ANIMATE,NON.PARTICIPLE,STRESSED.PRO,ἐκπολεμόω
5,73,1,DAT,NA,PERFECT,PRONOUN,ANIMATE,NON.PARTICIPLE,STRESSED.PRO,ἐκπολεμόω
5,74,1,PP,HYPO,PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,περιυβρίζω
5,77,3,PP,HYPO,PERFECT,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,περιφλεύω
5,81,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,περιέπω
5,82,1,PP,EK,NON.PERFECT,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,προοφείλω
5,85,1,PP,APO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,πέμπω
5,87,1,PP,HYPO,NON.PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,λέγω
5,87,1,PP,HYPO,NON.PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,λέγω
5,87,1,PP,HYPO,NON.PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,ὁμολογέω
5,91,2,DAT,NA,NON.PERFECT,PRONOUN,ANIMATE,PARTICIPLE,ENCLITIC.PRO,καλέω
5,91,2,PP,DIA,NON.PERFECT,PRONOUN,ANIMATE,PARTICIPLE,STRESSED.PRO,ἐλευθερόω
5,92C,2,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,STRESSED.PRO,βουλεύω
5,93,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,ἀνιάω
5,96,2,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,δοκέω
5,97,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,ἐξελαύνω
5,102,3,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,αἰνέω
5,105,1,PP,HYPO,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,ἐμπίμπρημι
5,105,1,PP,HYPO,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,ἐμπίμπρημι
5,108,1,PP,HYPO,PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,μεθίημι
5,126,2,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,ἀπόλλυμι
5,126,2,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,ἀπόλλυμι
6,1,1,PP,HYPO,PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,μεθίημι
6,2,2,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,δέω
6,2,2,PP,PROS,NON.PERFECT,PRONOUN,ANIMATE,PARTICIPLE,STRESSED.PRO,καταγιγνώσκω
6,3,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,ἐρωτάω
6,4,2,PP,PARA,NON.PERFECT,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,ἀντιπέμπω
6,5,2,PP,HYPO,NON.PERFECT,PRONOUN,ANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,τιτρώσκω
6,9,2,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,καταλύω
6,13,2,PP,HYPO,PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,ἀποστερέω
6,19,3,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,κτείνω
6,22,1,PP,EK,NON.PERFECT,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,ποιέω
6,23,5,PP,HYPO,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,λέγω
6,29,2,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,καταλαμβάνω
6,29,2,PP,HYPO,NON.PERFECT,PRONOUN,ANIMATE,PARTICIPLE,STRESSED.PRO,καθαιρέω
6,34,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,πιέζω
6,35,2,PP,HYPO,NON.PERFECT,PRONOUN,ANIMATE,PARTICIPLE,STRESSED.PRO,ξενίζω
6,38,2,PP,PROS,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,πλήσσω
6,39,2,PP,HYPO,NON.PERFECT,PRONOUN,ANIMATE,NON.PARTICIPLE,STRESSED.PRO,δέω
6,40,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,ἐρεθίζω
6,42,2,PP,EK,NON.PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,τάσσω
6,43,1,PP,EK,PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,καταλύω
6,44,3,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,διαφθείρω
6,46,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,διαβάλλω
6,46,2,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,πολιορκέω
6,50,2,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,ἀναγιγνώσκω
6,52,7,PP,PROS,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,τιμάω
6,53,1,PP,HYPO,NON.PERFECT,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,λέγω
6,53,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,καταλέγω
6,53,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,ἀποδείκνυμι
6,53,2,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,λέγω
6,55,1,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,STRESSED.PRO,λέγω
6,57,3,DAT,NA,NON.PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,ἀποπέμπω
6,57,3,PP,PROS,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,καλέω
6,58,1,PP,EK,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,δίδωμι
